wavelength,0.2 c,0.4 c,0.6 c,0.8 c,1.0 c
416.00,0.018539,0.040284,0.060848,0.087161,0.107764
415.00,0.018614,0.040764,0.061917,0.088140,0.109081
414.00,0.019045,0.041240,0.062463,0.089282,0.110363
413.00,0.019392,0.041603,0.063104,0.090305,0.111103
412.00,0.019290,0.042112,0.063980,0.091048,0.112811
411.00,0.019588,0.042319,0.064539,0.091758,0.113609
410.00,0.019416,0.042435,0.064948,0.092275,0.114416
409.00,0.019599,0.042917,0.065685,0.093783,0.115491
408.00,0.020010,0.043513,0.066242,0.094110,0.116616
407.00,0.020306,0.043956,0.066967,0.095599,0.118180
406.00,0.020175,0.044307,0.067300,0.096338,0.119155
405.00,0.020543,0.044565,0.068027,0.096911,0.119769
404.00,0.020517,0.044814,0.068458,0.097695,0.120686
403.00,0.020581,0.045338,0.068691,0.098102,0.121248
402.00,0.020950,0.045546,0.069781,0.099060,0.122683
401.00,0.020871,0.045800,0.069796,0.099645,0.123015
400.00,0.021474,0.046470,0.070352,0.100260,0.123775
399.00,0.021238,0.046212,0.070471,0.100436,0.123970
398.00,0.021112,0.046140,0.070480,0.100642,0.124445
397.00,0.021393,0.046636,0.070549,0.101323,0.124895
396.00,0.021545,0.046867,0.071252,0.101082,0.125318
395.00,0.021364,0.046626,0.071079,0.101755,0.125695
394.00,0.021613,0.046973,0.071518,0.102134,0.125781
393.00,0.021276,0.046889,0.071766,0.101909,0.126366
392.00,0.021478,0.047098,0.071489,0.101885,0.126176
391.00,0.021144,0.046439,0.071256,0.101598,0.125590
390.00,0.021396,0.046881,0.071356,0.101766,0.125964
389.00,0.021538,0.047024,0.071635,0.101917,0.125952
388.00,0.021477,0.047036,0.071301,0.101875,0.125452
387.00,0.021291,0.046667,0.070909,0.100974,0.125003
386.00,0.021313,0.046611,0.070790,0.100923,0.124570
385.00,0.021188,0.046410,0.070599,0.100491,0.123955
384.00,0.021293,0.046113,0.070302,0.100279,0.123747
383.00,0.021320,0.045962,0.070062,0.099340,0.122875
382.00,0.021066,0.045566,0.069254,0.098997,0.122218
381.00,0.021028,0.045461,0.069410,0.098852,0.121640
380.00,0.020692,0.045278,0.068874,0.098379,0.120850
